yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017488P	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017444B	Entry	Entry name	Status	Protein names	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Cross-reference (REBASE)	Cross-reference (eggNOG)	Cross-reference (KO)	Cross-reference (OrthoDB)	Cross-reference (Pfam)	Cross-reference (KEGG)	Taxonomic lineage (CLASS)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (KINGDOM)	Taxonomic lineage (ORDER)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SPECIES)	Protein families
arCOG00878		C7P7R2	C7P7R2_METFA	unreviewed	Type I site-specific deoxyribonuclease, HsdR family	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	21678;	arCOG00878;COG0610;	K01153;	POG093Z00AC;	PF04313;PF04851;	mfe:Mefer_0776;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus fervens	
arCOG00878		C9RGT9	C9RGT9_METVM	unreviewed	Type I site-specific deoxyribonuclease, HsdR family (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; oxidoreductase activity [GO:0016491]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; oxidoreductase activity [GO:0016491]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307; GO:0016491	22198;	arCOG00878;COG0610;	K01153;	POG093Z005E;	PF11867;PF04313;PF04851;	mvu:Metvu_0933;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus vulcanius	
arCOG00878		D3S0T2	D3S0T2_FERPA	unreviewed	Type I site-specific deoxyribonuclease, HsdR family	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	23985;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF04313;PF04851;	fpl:Ferp_2194;	Archaeoglobi	Archaeoglobaceae	Ferroglobus		Archaeoglobales	Euryarchaeota	Ferroglobus placidus	
arCOG00878		D5EAI5	D5EAI5_METMS	unreviewed	Uncharacterized protein							arCOG00878;COG0610;		POG093Z0GN8;	PF11867;	mmh:Mmah_0661;	Methanomicrobia	Methanosarcinaceae	Methanohalophilus		Methanosarcinales	Euryarchaeota	Methanohalophilus mahii	
arCOG00878		D5EBK9	D5EBK9_METMS	unreviewed	Type I site-specific deoxyribonuclease, HsdR family	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	25138;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF04313;PF04851;	mmh:Mmah_1045;	Methanomicrobia	Methanosarcinaceae	Methanohalophilus		Methanosarcinales	Euryarchaeota	Methanohalophilus mahii	
arCOG00878		D7DS67	D7DS67_METV3	unreviewed	Type I site-specific deoxyribonuclease, HsdR family (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	26509;	arCOG00878;COG0610;	K01153;	POG093Z00UF;	PF12008;PF04313;PF04851;	mvo:Mvol_0317;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus voltae	
arCOG00878		D7DSR6	D7DSR6_METV3	unreviewed	Type III restriction protein res subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	GO:0003677; GO:0004519; GO:0005524; GO:0006304	26511;	arCOG00878;COG0610;	K01153;	POG093Z0069;	PF04313;PF04851;	mvo:Mvol_0516;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus voltae	
arCOG00878		D7E838	D7E838_METEZ	unreviewed	Uncharacterized protein	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	GO:0003677; GO:0004519; GO:0005524; GO:0006304	26595;	arCOG00878;COG0610;	K01153;	POG093Z0069;	PF04313;PF04851;	mev:Metev_0465;	Methanomicrobia	Methanosarcinaceae	Methanohalobium		Methanosarcinales	Euryarchaeota	Methanohalobium evestigatum	
arCOG00878		D9PXG6	D9PXG6_METTM	unreviewed	Predicted type I restriction-modification enzyme, subunit R (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	27402;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF11867;PF04313;PF04851;	mmg:MTBMA_c13260;	Methanobacteria	Methanobacteriaceae	Methanothermobacter		Methanobacteriales	Euryarchaeota	Methanothermobacter marburgensis	
arCOG00878		D9PXV0	D9PXV0_METTM	unreviewed	Predicted type I restriction-modification enzyme, subunit R (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0006304; GO:0009035	27405;	arCOG00878;COG0610;	K01153;	POG093Z0069;	PF04313;PF04851;	mmg:MTBMA_c14690;	Methanobacteria	Methanobacteriaceae	Methanothermobacter		Methanobacteriales	Euryarchaeota	Methanothermobacter marburgensis	
arCOG00878		E1RHC9	E1RHC9_METP4	unreviewed	Type I site-specific deoxyribonuclease, HsdR family	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	27865;	arCOG00878;COG0610;	K01153;	POG093Z005E;	PF11867;PF04313;PF04851;	mpi:Mpet_1680;	Methanomicrobia	Methanomicrobiaceae	Methanolacinia		Methanomicrobiales	Euryarchaeota	Methanolacinia petrolearia	
arCOG00878		E7QT50	E7QT50_9EURY	unreviewed	Type I restriction enzyme, R subunit (Type I site-specific deoxyribonuclease, HsdR family protein)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307		arCOG00878;COG0610;		POG093Z009W;	PF11867;PF04313;PF04851;		Halobacteria	Halobacteriaceae	Haladaptatus		Halobacteriales	Euryarchaeota	Haladaptatus paucihalophilus	
arCOG00878		F0LIW2	F0LIW2_THEBM	unreviewed	Type I restriction-modification system restriction subunit R	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	29887;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF00271;PF04313;PF04851;	tba:TERMP_01589;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus barophilus	
arCOG00878		F2KRF7	F2KRF7_ARCVS	unreviewed	Type I site-specific deoxyribonuclease, HsdR family	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	34002;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF04313;PF04851;	ave:Arcve_1898;	Archaeoglobi	Archaeoglobaceae	Archaeoglobus		Archaeoglobales	Euryarchaeota	Archaeoglobus veneficus	
arCOG00878		F3KMR8	F3KMR8_9ARCH	unreviewed	HsdR family type I site-specific deoxyribonuclease	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307		arCOG00878;COG0610;			PF04313;PF04851;			Nitrosopumilaceae	Nitrosoarchaeum		Nitrosopumilales	Thaumarchaeota	Candidatus Nitrosoarchaeum limnia	
arCOG00878		F4BTW5	F4BTW5_METSG	unreviewed	Type I site-specific deoxyribonuclease, HsdR family (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	34684;	arCOG00878;COG0610;	K01153;	POG093Z0052;	PF11867;PF04313;PF04851;	mcj:MCON_0084;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanothrix soehngenii (Methanosaeta concilii)	
arCOG00878		F4HIU3	F4HIU3_PYRSN	unreviewed	Uncharacterized protein							arCOG00878;COG0610;				pyn:PNA2_1400;	Thermococci	Thermococcaceae	Pyrococcus		Thermococcales	Euryarchaeota	Pyrococcus sp. (strain NA2)	
arCOG00878		F6BCT8	F6BCT8_METIK	unreviewed	Type I site-specific deoxyribonuclease, HsdR family	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	36256;	arCOG00878;COG0610;	K01153;	POG093Z00AC;	PF04313;PF04851;	mig:Metig_0752;	Methanococci	Methanocaldococcaceae	Methanotorris		Methanococcales	Euryarchaeota	Methanotorris igneus (Methanococcus igneus)	
arCOG00878		F7PMT2	F7PMT2_9EURY	unreviewed	Type I restriction-modification system restriction endonuclease cleavage subunit HsdR protein (Type I restriction-modification system, restriction subunit R) (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	39324;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF11867;PF04313;PF04851;	hti:HTIA_0560;	Halobacteria	Haloarculaceae	Halorhabdus		Halobacteriales	Euryarchaeota	Halorhabdus tiamatea	
arCOG00878		F7XNS8	F7XNS8_METZD	unreviewed	Type I site-specific deoxyribonuclease, HsdR family	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	37314;	arCOG00878;COG0610;	K01153;	POG093Z005E;	PF11867;PF04313;PF04851;	mzh:Mzhil_1435;	Methanomicrobia	Methanosarcinaceae	Methanosalsum		Methanosarcinales	Euryarchaeota	Methanosalsum zhilinae	
arCOG00878		F8AJY7	F8AJY7_METOI	unreviewed	Type I site-specific deoxyribonuclease, HsdR family	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	36511;	arCOG00878;COG0610;	K01153;	POG093Z005E;	PF11867;PF04313;PF04851;	mok:Metok_1378;	Methanococci	Methanococcaceae	Methanothermococcus		Methanococcales	Euryarchaeota	Methanothermococcus okinawensis	
arCOG00878		F9CXT2	F9CXT2_9ARCH	unreviewed	Type I site-specific deoxyribonuclease, HsdR family	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	61481;	arCOG00878;COG0610;			PF11867;PF04313;PF04851;			Nitrosopumilaceae	Nitrosoarchaeum		Nitrosopumilales	Thaumarchaeota	Nitrosarchaeum koreense	
arCOG00878		G0HKT2	G0HKT2_THES4	unreviewed	Type I restriction-modification system restriction subunit R	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	38309;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF04313;PF04851;	the:GQS_01145;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus sp. (strain CGMCC 1.5172 / 4557)	
arCOG00878		G7WPL2	G7WPL2_METH6	unreviewed	Type I site-specific deoxyribonuclease chain R	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	GO:0003677; GO:0004519; GO:0005524; GO:0006304	41505;	arCOG00878;COG0610;	K01153;	POG093Z0069;	PF04313;PF04851;	mhi:Mhar_1856;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanosaeta harundinacea	
arCOG00878		O27023	O27023_METTH	unreviewed	Type I restriction enzyme	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	3103;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF11867;PF04313;PF04851;	mth:MTH_940;	Methanobacteria	Methanobacteriaceae	Methanothermobacter		Methanobacteriales	Euryarchaeota	Methanothermobacter thermautotrophicus (Methanobacterium thermoformicicum)	
arCOG00878		O28565	O28565_ARCFU	unreviewed	Type I restriction-modification enzyme, R subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	3113;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF04313;PF04851;	afu:AF_1708;	Archaeoglobi	Archaeoglobaceae	Archaeoglobus		Archaeoglobales	Euryarchaeota	Archaeoglobus fulgidus	
arCOG00878		Q0W5N4	Q0W5N4_METAR	unreviewed	Type I restriction modification enzyme,restriction subunit (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	13566;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF11867;PF04313;PF04851;	rci:RCIX971;	Methanomicrobia	Methanocellaceae	Methanocella		Methanocellales	Euryarchaeota	Methanocella arvoryzae	
arCOG00878		Q12V02	Q12V02_METBU	unreviewed	Type-1 site specific restriction enzyme R subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	12210;	arCOG00878;COG0610;	K01153;	POG093Z00UF;	PF12008;PF04313;PF04851;	mbu:Mbur_1841;	Methanomicrobia	Methanosarcinaceae	Methanococcoides		Methanosarcinales	Euryarchaeota	Methanococcoides burtonii	
arCOG00878		Q12WP1	Q12WP1_METBU	unreviewed	Type I restriction endonuclease	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	12203;	arCOG00878;COG0610;	K01153;	POG093Z005E;	PF11867;PF04313;PF04851;	mbu:Mbur_1213;	Methanomicrobia	Methanosarcinaceae	Methanococcoides		Methanosarcinales	Euryarchaeota	Methanococcoides burtonii	
arCOG00878		Q2FSK3	Q2FSK3_METHJ	unreviewed	Type I site-specific deoxyribonuclease, HsdR family (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	12017;	arCOG00878;COG0610;	K01153;	POG093Z005E;	PF11867;PF04313;PF04851;	mhu:Mhun_2781;	Methanomicrobia	Methanospirillaceae	Methanospirillum		Methanomicrobiales	Euryarchaeota	Methanospirillum hungatei	
arCOG00878		Q2NH26	Q2NH26_METST	unreviewed	Putative type I restriction-modification system, restriction subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	11796;	arCOG00878;COG0610;	K01153;	POG093Z00UF;	PF12008;PF04313;PF04851;	mst:Msp_0477;	Methanobacteria	Methanobacteriaceae	Methanosphaera		Methanobacteriales	Euryarchaeota	Methanosphaera stadtmanae	
arCOG00878		Q2NH49	Q2NH49_METST	unreviewed	Uncharacterized protein						11790;	arCOG00878;COG0610;		POG093Z0SIO;	PF12008;	mst:Msp_0454;	Methanobacteria	Methanobacteriaceae	Methanosphaera		Methanobacteriales	Euryarchaeota	Methanosphaera stadtmanae	
arCOG00878		Q468X4	Q468X4_METBF	unreviewed	Putative type I restriction enzyme R protein	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	11275;	arCOG00878;COG0610;	K01153;	POG093Z0052;	PF11867;PF04313;PF04851;	mba:Mbar_A2662;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina barkeri	
arCOG00878		Q46DR0	Q46DR0_METBF	unreviewed	Type I restriction-modification system restriction subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	GO:0003677; GO:0004519; GO:0005524; GO:0006304	11268;	arCOG00878;COG0610;	K01153;	POG093Z0069;	PF04313;PF04851;	mba:Mbar_A1014;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina barkeri	
arCOG00878	Y124_METJA	Q57588	Y124_METJA	reviewed	Uncharacterized protein MJ0124	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	3900;	arCOG00878;COG0610;		POG093Z009W;	PF04313;PF04851;	mja:MJ_0124;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus jannaschii	
arCOG00878	Y1214_METJA	Q58611	Y1214_METJA	reviewed	Uncharacterized protein MJ1214	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	3903;	arCOG00878;COG0610;	K01153;	POG093Z00AC;	PF04313;PF04851;	mja:MJ_1214;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus jannaschii	
arCOG00878		Q6L2Z0	Q6L2Z0_PICTO	unreviewed	Type I restriction-modification system restriction subunit (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	8653;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF04313;PF04851;	pto:PTO0076;	Thermoplasmata	Picrophilaceae	Picrophilus		Thermoplasmatales	Euryarchaeota	Picrophilus torridus	
arCOG00878		Q8PSV0	Q8PSV0_METMA	unreviewed	Type I restriction-modification system restriction subunit (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0006304; GO:0009035	6278;	arCOG00878;COG0610;	K01153;	POG093Z0069;	PF04313;PF04851;	mma:MM_2976;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
arCOG00878		Q8PTI2	Q8PTI2_METMA	unreviewed	Uncharacterized protein	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	6272;	arCOG00878;COG0610;	K01153;	POG093Z0052;	PF11867;PF04313;PF04851;	mma:MM_2733;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
arCOG00878		Q8PUP0	Q8PUP0_METMA	unreviewed	Type I restriction-modification system restriction subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	6261;	arCOG00878;COG0610;	K01153;	POG093Z006C;	PF04313;PF04851;	mma:MM_2292;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
arCOG00878		Q8PUX4	Q8PUX4_METMA	unreviewed	Uncharacterized protein	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	6260;	arCOG00878;COG0610;	K01153;	POG093Z005E;	PF11867;PF04313;PF04851;	mma:MM_2204;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
